#index	label	wavelength	comment
611	Cl10h           0 		# heating due to database species
612	Cl11c           0 		# net cooling due to database species
613	Cl11h           0 		# heating due to database species
614	Cl12c           0 		# net cooling due to database species
615	Cl12h           0 		# heating due to database species
616	Cl14c           0 		# net cooling due to database species
617	Cl14h           0 		# heating due to database species
618	Co17c           0 		# net cooling due to database species
619	Co17h           0 		# heating due to database species
620	Co19c           0 		# net cooling due to database species
621	Co19h           0 		# heating due to database species
622	Co20c           0 		# net cooling due to database species
623	Co20h           0 		# heating due to database species
624	Co21c           0 		# net cooling due to database species
625	Co21h           0 		# heating due to database species
626	Co22c           0 		# net cooling due to database species
627	Co22h           0 		# heating due to database species
628	Co23c           0 		# net cooling due to database species
629	Co23h           0 		# heating due to database species
630	Co24c           0 		# net cooling due to database species
631	Co24h           0 		# heating due to database species
632	Co25c           0 		# net cooling due to database species
633	Co25h           0 		# heating due to database species
634	Cr13c           0 		# net cooling due to database species
635	Cr13h           0 		# heating due to database species
636	Cr14c           0 		# net cooling due to database species
637	Cr14h           0 		# heating due to database species
638	Cr16c           0 		# net cooling due to database species
639	Cr16h           0 		# heating due to database species
640	Cr17c           0 		# net cooling due to database species
641	Cr17h           0 		# heating due to database species
642	Cr18c           0 		# net cooling due to database species
643	Cr18h           0 		# heating due to database species
644	Cr19c           0 		# net cooling due to database species
645	Cr19h           0 		# heating due to database species
646	Cr20c           0 		# net cooling due to database species
647	Cr20h           0 		# heating due to database species
648	Cr21c           0 		# net cooling due to database species
649	Cr21h           0 		# heating due to database species
650	Cr22c           0 		# net cooling due to database species
651	Cr22h           0 		# heating due to database species
652	Cr 7c           0 		# net cooling due to database species
653	Cr 7h           0 		# heating due to database species
654	Cr 8c           0 		# net cooling due to database species
655	Cr 8h           0 		# heating due to database species
656	Cr 9c           0 		# net cooling due to database species
657	Cr 9h           0 		# heating due to database species
658	Fe10c           0 		# net cooling due to database species
659	Fe10h           0 		# heating due to database species
660	Fe11c           0 		# net cooling due to database species
661	Fe11h           0 		# heating due to database species
662	Fe12c           0 		# net cooling due to database species
663	Fe12h           0 		# heating due to database species
664	Fe13c           0 		# net cooling due to database species
665	Fe13h           0 		# heating due to database species
666	Fe14c           0 		# net cooling due to database species
667	Fe14h           0 		# heating due to database species
668	Fe15c           0 		# net cooling due to database species
669	Fe15h           0 		# heating due to database species
670	Fe16c           0 		# net cooling due to database species
671	Fe16h           0 		# heating due to database species
672	Fe17c           0 		# net cooling due to database species
