# this is the base set of chemistry rates that is read in
# by default for all cases.
# We have the option to supplement this with improved rates 
# from mole_co_federman.dat and mole_co_leidenhack.dat
# Both files are used by default but can be disabled with
# the SET CHEMISTRY command.  There are duplicate reactions
# in this case and the base reactions in this file are
# ignored.
#These would be double counted if included in the molecular network
#N+,e-=>N:ele_recomb:1.:0.:0.
#S+,e-=>S:ele_recomb:1.:0.:0.
#Cl+,e-=>Cl:ele_recomb:1.:0.:0.
#C+,e-=>C:ele_recomb:1.:0.:0.
#O+,e-=>O:ele_recomb:1.:0.:0.
#Si+,e-=>Si:ele_recomb:1.:0.:0.
H2Cl+,e-=>HCl,H:hmrate:0.00000001:-0.85:0 # UMIST(RATE2012), updated by GS on 2ndApril,2021 
NH3,CCl+=>HCNH+,HCl:hmrate:1.3e-9:-0.5:0 # UMIST(RATE2012), added by GS on 2ndApril,2021 
CCl+,e-=>Cl,C:hmrate:0.0000003:-0.5:0 # UMIST   
H2CCl+,e-=>CCl,H,H:hmrate:0.0000003:-0.5:0 # UMIST   
ClO+,e-=>Cl,O:hmrate:0.0000002:-0.5:0 # UMIST   
HCNH+,e-=>HCN,H:hmrate:0.00000009:-0.5:0 
#HCNH+,e-=>HCN,H:hmrate:9.5e-8:-0.65:0 #UMIST2012, updated by GS on 11thApril2021 # e-convergence failure for pdr_leiden_f3.in 
HCNH+,e-=>CN,H,H:hmrate:0.00000018:-0.5:0 
#HCNH+,e-=>CN,H,H:hmrate:9.3e-8:-0.65:0 #UMIST2012, updated by GS on 4thApril2021 #BIG BLOTCH for HCNH+, e-convergence failure
HCNH+,e-=>HNC,H:hmrate:0.00000009:-0.5:0 
#HCNH+,e-=>HNC,H:hmrate:9.5e-8:-0.65:0 #UMIST2012, updated by GS on 11thApril2021 # e-convergence failure for pdr_leiden_f3.in
#C2H+,e-=>CH,C:hmrate:0.000000135:-0.5:0 
C2H+,e-=>CH,C:hmrate:1.53e-7:-0.76:0  #UMIST2012, updated by GS on 20thMay2021
C2H+,e-=>C2,H:hmrate:0.000000116:-0.76:0 # Herbst 
C3+,e-=>C2,C:hmrate:0.0000003:-0.5:0 
C2H2+,e-=>C2,H,H:hmrate:0.00000009:-0.5:0 
C2H2+,e-=>CH,CH:hmrate:0.00000009:-0.5:0 
C2H2+,e-=>C2H,H:hmrate:0.00000029:-0.5:0 # Herbst 
C3H+,e-=>C2H,C:hmrate:0.00000015:-0.5:0 
C3H+,e-=>C3,H:hmrate:0.00000015:-0.5:0 
C2H3+,e-=>C2H2,H:hmrate:0.00000045:-0.5:0 
# >>chng 06 Apr 13, add N2H+ to chemistry.  which 
# should improve modeling of nitrogen chemistry, in 
# particular NH and N2 
N2H+,e-=>N2,H:hmrate:0.36e-7:-0.51:0 
N2H+,e-=>NH,N:hmrate:0.64e-7:-0.51:0 
NH,PHOTON=>NH+,e-:th85rate:1.0e-11:0.:0. # UMIST   
NH,PHOTON=>N,H:th85rate:5.0e-10:0.:0. # UMIST   
NH2,PHOTON=>NH,H:th85rate:3.9e-10:0.:0. # UMIST   
NH2,PHOTON=>NH2+,e-:th85rate:1.73e-10:0.:0. # UMIST   
NH3,PHOTON=>NH3+,e-:th85rate:1.8e-10:0.:0. # UMIST   
NH3,PHOTON=>NH,H2:th85rate:3.3e-10:0.:0. # UMIST   
NH3,PHOTON=>NH2,H:th85rate:1.1e-9:0.:0. # UMIST   
CN,PHOTON=>N,C:th85rate:1.1e-9:0.:0.#  UMIST   	# >>chng 06 jun 01, comment out ?? - in more than one time
HCN,PHOTON=>CN,H:th85rate:1.3e-9:0.:0. # UMIST   
N2,PHOTON=>N,N:th85rate:2.3e-10:0.:0. # UMIST   
NO,PHOTON=>O,N:th85rate:4.3e-10:0.:0. # UMIST   
NO,PHOTON=>NO+,e-:th85rate:2.6e-10:0.:0. # UMIST   
HNO,PHOTON=>NO,H:th85rate:1.7e-10:0.:0. # UMIST   
HS,PHOTON=>S,H:th85rate:9.7e-10:0.:0. # UMIST   
HS+,PHOTON=>S+,H:th85rate:3.e-10:0.:0. # UMIST   
OCN,PHOTON=>CN,O:th85rate:1.0e-11:0.:0. # UMIST 
CS,PHOTON=>S,C:th85rate:9.7e-10:0.:0. # UMIST   
CS+,PHOTON=>S+,C:th85rate:2.0e-10:0.:0. # UMIST   
CS,PHOTON=>CS+,e-:th85rate:2.0e-10:0.:0. # UMIST   
NO2,PHOTON=>NO,O:th85rate:1.2e-9:0.:0. # UMIST   
NS,PHOTON=>S,N:th85rate:1.0e-11:0.:0. # UMIST   
SO,PHOTON=>S,O:th85rate:3.7e-9:0.:0. # UMIST   
SO,PHOTON=>SO+,e-:th85rate:6.e-10:0.:0. # UMIST   
OCS,PHOTON=>OCS+,e-:th85rate:4.2e-10:0.:0. # UMIST   
NH,CRPHOT=>NH+,e-:crnurate:500 :0.:0. # UMIST   
NH,CRPHOT=>N,H:crnurate:500 :0.:0. # UMIST   
NH2,CRPHOT=>NH,H:crnurate:81 :0.:0. # UMIST   
NH2,CRPHOT=>NH2+,e-:crnurate:610 :0.:0. # UMIST   
NH3,CRPHOT=>NH3+,e-:crnurate:543 :0.:0. # UMIST   
NH3,CRPHOT=>NH,H2:crnurate:541 :0.:0. # UMIST   
NH3,CRPHOT=>NH2,H:crnurate:1325 :0.:0. # UMIST   
CN,CRPHOT=>N,C:crnurate:10580 :0.:0. # UMIST   
HCN,CRPHOT=>CN,H:crnurate:3114 :0.:0. # UMIST   
N2,CRPHOT=>N,N:crnurate:50 :0.:0. # UMIST   
NO,CRPHOT=>O,N:crnurate:427 :0.:0. # UMIST   
NO,CRPHOT=>NO+,e-:crnurate:430 :0.:0. # UMIST   
HNO,CRPHOT=>NO,H:crnurate:1000 :0.:0. # UMIST   
HS,CRPHOT=>S,H:crnurate:500 :0.:0. # UMIST   
OCN,CRPHOT=>CN,O:crnurate:1500 :0.:0. # UMIST   
CS,CRPHOT=>S,C:crnurate:500 :0.:0. # UMIST   
CS,CRPHOT=>CS+,e-:crnurate:500 :0.:0. # UMIST   
NO2,CRPHOT=>NO,O:crnurate:1500 :0.:0. # UMIST   
NS,CRPHOT=>S,N:crnurate:500 :0.:0. # UMIST   
SO,CRPHOT=>S,O:crnurate:500 :0.:0. # UMIST   
SO,CRPHOT=>SO+,e-:crnurate:500 :0.:0. # UMIST   
OCS,CRPHOT=>OCS+,e-:crnurate:1444 :0.:0. # UMIST   
#PHOTON,CH=>CH+,e-:th85rate:7.6e-10:0.:2.8 #  UMIST	   	# >>chng 06 jun 01, comment out ??4.2e-10*TH85_field; - in more than one time
#CH,PHOTON=>CH+,e-:hmrate:7.6e-10:0:3.3 #UMIST2012, updated by GS on 22ndMay2021 # 9 sigma BIG BLOTCH# 
CH,PHOTON=>CH+,e-:th85rate:7.6e-10:0:3.3 #UMIST2012 updated by GS on 18thOct2021, rate corrected to th85rate
#PHOTON,CH=>C,H:th85rate:8.6e-10:0.:1.2 #  UMIST	   	# >>chng 06 jun 01, comment out ??1.3e-9*TH85_field; - in more than one time
#CH,PHOTON=>C,H:hmrate:9.2e-10:0:1.7 #UMIST2012, updated by GS on 22ndMay2021 # 9 sigma BIG BLOTCH
CH,PHOTON=>C,H:th85rate:9.2e-10:0:1.7 #UMIST2012 updated by GS on 18thOct2021, rate corrected to th85rate
PHOTON,CH+=>C+,H:th85rate:2.5e-10:0.:2.5 #  UMIST	 
PHOTON,CH2=>CH2+,e-:th85rate:1.0e-9:0.:2.3 #  UMIST	 
#PHOTON,CH2=>CH,H:th85rate:7.2e-10:0.:1.7 #  UMIST
#PHOTON,CH2=>CH,H:hmrate:5.8e-10:0.:2. # UMIST2012; updated by GS on 21stMay2021 # 9 sigma BIG BLOTCH
PHOTON,CH2=>CH,H:th85rate:5.8e-10:0.:2.	#UMIST2012 updated by GS on 18thOct2021, rate corrected to th85rate 
PHOTON,CH2+=>CH+,H:th85rate:1.7e-9:0.:1.7 #  UMIST
PHOTON,CH3+=>CH2+,H:th85rate:1.0e-9:0.:1.7 #  UMIST	 
PHOTON,CH3+=>CH+,H2:th85rate:1.0e-9:0.:1.7 #  UMIST	 
PHOTON,H2O=>H2O+,e-:th85rate:3.3e-11:0.:3.9 #  UMIST	 
PHOTON,H2O=>OH,H:th85rate:5.9e-10:0.:1.7 #  UMIST	 
PHOTON,O2=>O2+,e-:th85rate:5.6e-11:0.:3.7 #  UMIST	 
PHOTON,O2=>O,O:th85rate:6.9e-10:0.:1.8 #  UMIST	 
PHOTON,OH=>OH+,e-:th85rate:1.6e-12:0.:3.1 #  UMIST	 
PHOTON,OH=>O,H:th85rate:3.5e-10:0.:1.7 #  UMIST	 
PHOTON,OH+=>O,H+:th85rate:1.e-12:0.:1.8 #  UMIST	 
PHOTON,SiH=>Si,H:th85rate:2.8e-9:0.:1.1 #  UMIST	 
PHOTON,SiO=>Si,O:th85rate:1.0e-10:0.:2.3 #  UMIST	 
HNC,PHOTON=>CN,H:th85rate:1.5e-9:0.:0. 
HNC,CRPHOT=>CN,H:crnurate:2986:0.:0. 
HCl,PHOTON=>Cl,H:th85rate:0.00000000011:0.:0. # UMIST   
CCl,PHOTON=>Cl,C:th85rate:0.0000000001:0.:0. # UMIST   
ClO,PHOTON=>Cl,O:th85rate:0.0000000001:0.:0.#  UMIST   
HCl,CRPHOT=>Cl,H:crnurate:610:0.:0. # UMIST   
CCl,CRPHOT=>Cl,C:crnurate:500:0.:0. # UMIST   
ClO,CRPHOT=>Cl,O:crnurate:500:0.:0. # UMIST   
CRPHOT,CH=>C,H:crnurate: 756:0.:0. # UMIST	 
CRPHOT,CH+=>C+,H:crnurate: 183:0.:0. # UMIST	 
CRPHOT,H2O=>OH,H:crnurate: 979:0.:0. # UMIST	 
CRPHOT,O2=>O2+,e-:crnurate:88:0.:0. # UMIST	 
CRPHOT,O2=>O,O:crnurate:730:0.:0. # UMIST	 
CRPHOT,OH=>O,H:crnurate:522:0.:0. # UMIST	 
CRPHOT,SiH=>Si,H:crnurate:500:0.:0. # UMIST	 
